scaffold,start,end,mid,sites,pi1,pi2,dxy,fst,window_size,window_name
scaffold_13,2181485,2248700,2208117,25000,0.003657,0.001672,0.002822,0.030698,116890,scaffold_13_5
scaffold_13,2248701,2331644,2293264,25000,0.004145,0.003703,0.004062,0.018418,265741,scaffold_13_6
scaffold_13,2331645,2389354,2359453,25000,0.002534,0.003703,0.0031,-0.003181,265741,scaffold_13_6
scaffold_13,2389355,2452173,2410421,25000,0.001615,0.002279,0.001882,-0.018258,265741,scaffold_13_6
scaffold_13,2452174,2520922,2492009,25000,0.003559,0.002447,0.003326,0.068438,265741,scaffold_13_6
scaffold_13,2871147,2932034,2899065,25000,0.001001,0.001269,0.00102,-0.056873,166192,scaffold_13_7
scaffold_13,2932035,2979198,2961446,25000,0.000924,0.003034,0.004814,0.425627,166192,scaffold_13_7
scaffold_13,2979199,3002461,2994099,13355,0.002339,0.002271,0.002507,0.042233,166192,scaffold_13_7
scaffold_130,120396,179256,146935,25000,0.004037,0.002996,0.0038,0.041216,129918,scaffold_130_1
scaffold_133,8164,64449,35280,25000,0.002517,0.002454,0.002685,0.04111,271223,scaffold_133_1
scaffold_133,64450,120913,96509,25000,0.002067,0.002046,0.002085,0.007399,271223,scaffold_133_1
